N,P,K,temperature,humidity,ph,rainfall,label,Wind Speed (km/h),Soil Moisture (%),Water Requirement (mm/day),Growth Stage,Area (sqm),Irrigation Type,Soil Type,Past Yield (tons),Last Irrigation Date,Last Fertilization Date,Region/State
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,12.49,49.07,3.86,Seedling,669,Manual,Loamy,1,19-03-2025,11-03-2025,Tamil Nadu
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,24.01,14.43,6.63,Harvest,591,Drip,Sandy,3.04,29-03-2025,30-03-2025,Karnataka
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,19.64,26.9,4.72,Seedling,674,Flood,Sandy,1.62,25-03-2025,08-03-2025,Tamil Nadu
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,16.97,11.68,5.51,Fruiting,446,Manual,Loamy,2.44,26-03-2025,06-02-2025,Maharashtra
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,8.12,39.6,9.93,Flowering,919,Drip,Loamy,3.35,06-03-2025,13-02-2025,Karnataka
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,8.12,46.72,7.79,Seedling,586,Sprinkler,Silty,1.66,09-03-2025,03-03-2025,Karnataka
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,6.16,21.2,9.64,Seedling,572,Sprinkler,Sandy,0.73,01-04-2025,13-03-2025,Tamil Nadu
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,22.32,44.33,4,Vegetative,481,Flood,Clay,0.55,31-03-2025,16-03-2025,Maharashtra
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,17.02,21.69,5.67,Vegetative,379,Manual,Sandy,0.6,16-03-2025,26-02-2025,Karnataka
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,19.16,46.43,6.88,Vegetative,171,Sprinkler,Clay,0.54,27-03-2025,04-03-2025,Punjab
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,5.41,40.16,3.54,Flowering,620,Drip,Silty,1,06-03-2025,19-02-2025,Punjab
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,24.4,42.2,3.03,Fruiting,465,Sprinkler,Loamy,1.58,22-03-2025,20-02-2025,Assam
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,21.65,10.72,7.69,Fruiting,193,Sprinkler,Silty,1.5,02-04-2025,16-02-2025,Assam
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,9.25,48.51,7.49,Fruiting,472,Manual,Loamy,4.94,22-03-2025,15-02-2025,Maharashtra
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,8.64,39.07,5.88,Flowering,438,Manual,Sandy,1.88,27-03-2025,24-03-2025,Karnataka
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,8.67,22.19,6.43,Flowering,536,Drip,Loamy,1.07,21-03-2025,13-03-2025,Punjab
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,11.08,43.18,5.91,Vegetative,435,Flood,Clay,2.96,04-04-2025,22-03-2025,Punjab
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,15.5,21.26,3.17,Seedling,763,Flood,Clay,4.36,06-03-2025,04-02-2025,Maharashtra
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,13.64,44.91,5.35,Harvest,591,Sprinkler,Silty,3.55,23-03-2025,28-02-2025,Karnataka
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,10.82,14.5,4.24,Harvest,967,Drip,Sandy,1.83,16-03-2025,06-02-2025,Maharashtra
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,17.24,38.15,3.69,Seedling,139,Flood,Clay,3.03,17-03-2025,11-02-2025,Tamil Nadu
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,7.79,31.63,9.7,Vegetative,458,Flood,Silty,3.72,30-03-2025,05-03-2025,Punjab
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,10.84,13.86,7.2,Seedling,673,Sprinkler,Sandy,3.78,26-03-2025,04-03-2025,Maharashtra
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,12.33,19.68,8.1,Seedling,353,Drip,Sandy,3.5,13-03-2025,01-03-2025,Maharashtra
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,14.12,10.5,5.21,Harvest,680,Flood,Silty,4.42,03-04-2025,26-03-2025,Tamil Nadu
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,20.7,28.75,5.75,Vegetative,497,Manual,Clay,4.42,20-03-2025,24-02-2025,Assam
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,8.99,22.05,4.66,Flowering,856,Manual,Clay,3.11,04-04-2025,06-03-2025,Punjab
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,15.28,33.93,3.68,Harvest,976,Sprinkler,Silty,2.43,23-03-2025,09-03-2025,Maharashtra
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,16.85,21.89,4.25,Flowering,269,Sprinkler,Clay,3.39,20-03-2025,29-03-2025,Punjab
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,5.93,22,8.58,Vegetative,789,Sprinkler,Silty,4.18,07-03-2025,22-02-2025,Assam
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,17.15,39.73,7.74,Seedling,800,Sprinkler,Clay,0.53,17-03-2025,14-03-2025,Maharashtra
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,8.41,11.93,6.83,Fruiting,610,Flood,Clay,4.96,27-03-2025,07-03-2025,Tamil Nadu
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,6.3,46.12,6.33,Fruiting,359,Drip,Silty,1.32,24-03-2025,24-02-2025,Punjab
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,23.98,44.09,9.46,Vegetative,683,Sprinkler,Silty,2.62,18-03-2025,10-03-2025,Tamil Nadu
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,24.31,36.71,3.51,Fruiting,558,Sprinkler,Clay,4.42,06-03-2025,16-02-2025,Assam
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,21.17,33.73,4.96,Flowering,628,Flood,Silty,1.51,08-03-2025,10-03-2025,Assam
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,11.09,45.69,5.45,Fruiting,981,Sprinkler,Clay,2.65,13-03-2025,12-03-2025,Punjab
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,6.95,17.41,8.48,Vegetative,440,Sprinkler,Loamy,1.1,10-03-2025,10-02-2025,Assam
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,18.68,13.16,9.95,Vegetative,156,Drip,Sandy,2.28,31-03-2025,27-03-2025,Karnataka
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,13.8,19.58,4.68,Flowering,317,Manual,Sandy,1.3,31-03-2025,02-03-2025,Punjab
